"index_origin","author","time","toefl","gre_total","gre_v","gre_q","gre_aw","district","season","type","offertype","major_school_apply","major_school","gpa","graduated","gre_raw","gre_sub","extrainfo","college_apply","major_apply","college_before","major_before","cross","gpa_measure","rl","intern","research","paper","first","sci","exchange","College_apply_new","Top100_college_apply","CollegeRank","CollegeRankTop50","Districts","Before_CollegeRank","major_apply_new","gre_total_new","Standardgap","gre_total_dis","toefl_dis","gpa_dis"
20,"nickmath",17,108,"321","","",""," 美国","Fall","MS","Admitted","CS@USC"," CS @ WHU",88.2,"","321","","","USC","CS","WHU","CS",1,100,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Top100~500","CS",321,3.528,"319~322",">106","3.4~3.55"
25,"fengqifight",17,110,"326","","","3"," 美国","Fall","MS","Rejected","EE@USC"," EE @ BIT",82,"","326+3","","","USC","EE","BIT","EE",1,100,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Top100~500","EE",326,3.28,">325",">106","<=3.4"
32,"284532443",17,94,"319","","",""," 美国","Fall","MS","Rejected","CS@UCR"," CS @ USTB",3.12,"","319","","","UCR","CS","USTB","CS",1,4,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","CS",319,3.12,"<=319","<=98","<=3.4"
58,"丹丹妹",17,97,"315","","","3.5"," 美国","Fall","MS","Admitted","EE@NWU"," 通信工程 @ BJTU",88.9,"","315+3.5",""," 无牛推，有台湾交换经历，台湾授课老师帮忙提交了一封推荐信","NWU","EE","BJTU","EE",0,100,0,0,0,0,0,0,1,"Northwestern University","Northwestern University","Top10_50","Top50","MidWest","Others","EE",315,3.556,"<=319","<=98","3.55~3.7"
63,"鱼眠苏",17,94,"326","","",""," 美国","Fall","MS","Admitted","CS@USC"," cs @ zju",3.7,"","326",""," 毕设专利","USC","CS","zju","CS",0,4,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Top100","CS",326,3.7,">325","<=98","3.55~3.7"
67,"AI73r",18,102,"324","154","170","3"," 美国","Spring","MS","Admitted","CE@USC"," 电子信息科学 @ 西安电子科技大学",82.7,"","154+170=324, AW 3.0","","","USC","CE","西安电子科技大学","电子信息科学",0,100,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","CE",324,3.308,"322~325","98~102","<=3.4"
85,"ymy1995",17,105,"323","","","3"," 美国","Fall","MS","Admitted","EE@EE（general、VLSI）@USC"," 信息工程 @ SEU",3.65,"","323/3","","","USC","EE","SEU","EE",0,4,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","EE",323,3.65,"322~325","102~106","3.55~3.7"
92,"Soonania",17,105,"327","157","170","3.5"," 美国","Fall","MS","Admitted","Other@Security Informatics@JHU"," 信息安全 @ 中国人民大学",3.09,"","327(V 157 Q 170 AW 3.5)","","","JHU","Other","中国人民大学","信息安全",0,4,0,0,0,0,0,0,0,"Johns Hopkins University","Johns Hopkins University","Top10_50","Top50","EastCoast","Top100~500","Others",327,3.09,">325","102~106","<=3.4"
93,"Xhine",17,109,"332","","","3.5"," 美国","Fall","MS","Admitted","DataScience/Analytics@UCSD"," EE @ XJTU",90,"","332+3.5",""," 辅修ACCA，参加过商业类比赛和项目，做过一点AI方面的工作","UCSD","DataScience/Analytics","XJTU","EE",0,100,0,1,1,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Top100~500","Others",332,3.6,">325",">106","3.55~3.7"
124,"xinshangzai",17,102,"326","","","3"," 美国","Fall","MS","Admitted","CS@NEU"," LANDSCAPE @ TJU",4.52,"","326+3","","","NEU","CS","TJU","LANDSCAPE",0,5,0,0,0,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Top100~500","CS",326,3.616,">325","98~102","3.55~3.7"
135,"丹丹妹",17,97,"315","","","3.5"," 美国","Fall","MS","Admitted","EE@USC"," 通信工程 @ BJTU",88.9,"","315+3.5","","","USC","EE","BJTU","EE",0,100,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","EE",315,3.556,"<=319","<=98","3.55~3.7"
150,"zhjhzhjh",17,113,"323","153","170","4"," 美国","Fall","MS","Admitted","CS@NEU"," 物理 @ ZJU",82,"","153+170+4","","","NEU","CS","ZJU","物理",0,100,0,0,0,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Top100","CS",323,3.28,"322~325",">106","<=3.4"
163,"fengqifight",17,110,"326","","","3"," 美国","Fall","MS","Rejected","EE@UCI"," EE @ BIT",82,"","326+3","","","UCI","EE","BIT","EE",1,100,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Top100~500","EE",326,3.28,">325",">106","<=3.4"
164,"Tours",17,101,"329","159","170","3.5"," 美国","Fall","MS","Admitted","CivilEng@University of Maryland"," 工程力学 @ 北京航空航天大学",3.2,"","V159, Q170, AW3.5",""," 参加过英国南安普顿大学暑期学校","University of Maryland","CivilEng","北京航空航天大学","工程力学",0,4,0,0,0,0,0,0,0,"University of Maryland","University of Maryland","Others","Others","EastCoast","Others","CivilEng",329,3.2,">325","98~102","<=3.4"
167,"karenH",17,92,"322","","",""," 美国","Fall","MS","Admitted","Envir@USC"," 环科 @ 河海",3.62,"","322","","","USC","Envir","河海","环科",0,4,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","Others",322,3.62,"319~322","<=98","3.55~3.7"
198,"luoyhang003",17,105,"318","","",""," 美国","Fall","MS","Admitted","CS@UCR"," 软件工程 @ SDU",4.25,"","318","","","UCR","CS","SDU","SE",0,5,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","CS",318,3.4,"<=319","102~106","<=3.4"
199,"beir8",17,94,"318","148","170","3"," 美国","Fall","MS","Admitted","CS@CS general@USC"," 信息安全 @ HIT",92,"","318(148+170+3.0)","","","USC","CS","HIT","信息安全",0,100,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Top100~500","CS",318,3.68,"<=319","<=98","3.55~3.7"
210,"nightlyjourney",17,104,"321","","","3"," 美国","Fall","PhD","Rejected","CS@CS@Purdue"," EE @ BUPT",85,"","321+3","","","Purdue","CS","BUPT","EE",0,100,1,0,1,0,0,0,0,"Purdue University","Purdue University","Others","Others","MidWest","Others","CS",321,3.4,"319~322","102~106","<=3.4"
213,"truexiaochao",17,88,"316","","","3"," 美国","Fall","MS","Rejected","EE@ucsb"," 自动化 @ njust",3.43,"","316+3","","","ucsb","EE","njust","IEOR",0,4,0,0,1,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","EE",316,3.43,"<=319","<=98","3.4~3.55"
218,"naobaijin",17,95,"310","144","166",""," 美国","Fall","MS","Admitted","MIS@Drexel University","网络工程 @ 3本野鸡",2.97,"","144 + 166 = 306",""," 无","Drexel University","MIS","3本野鸡","网络工程",0,4,0,0,0,0,0,0,0,"Drexel University","Drexel University","Others","Others","EastCoast","Others","MIS",310,2.97,"<=319","<=98","<=3.4"
225,"bunnieabc",17,99,"321","","","3"," 美国","Fall","MS","Admitted","Other@New York University"," CS @ 台灣交大",3.68,"","321+3","","","New York University","Other","台灣交大","CS",0,4,0,0,0,0,0,0,0,"New York University","New York University","Top10_50","Top50","EastCoast","Others","Others",321,3.68,"319~322","98~102","3.55~3.7"
230,"SXY123",17,100,"324","","","3"," 美国","Fall","MS","Admitted","CS@BU"," 通信工程 @ BUPT",83.6,"","324+3","","","BU","CS","BUPT","EE",0,100,0,0,0,0,0,0,0,"Boston University","Boston University","Others","Others","EastCoast","Others","CS",324,3.344,"322~325","98~102","<=3.4"
237,"vorlorn",17,107,"322","152","170","3"," 美国","Fall","MS","Admitted","DataScience/Analytics@NEU"," 工业工程 @ 东北大学",86.8,"","152+170+3.0","","","NEU","DataScience/Analytics","东北大学","IEOR",0,100,0,0,1,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Others","Others",322,3.472,"319~322",">106","3.4~3.55"
251,"whereyz",18,97,"315","","","3"," 美国","Spring","MS","Admitted","EE@USC","微电子 @ 本科末流985",86.8,"","315+3","","","USC","EE","本科末流985","微电子",0,100,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","EE",315,3.472,"<=319","<=98","3.4~3.55"
275,"ffdd22",17,104,"321","","",""," 美国","Fall","MS","Rejected","EE@UCI"," 电气工程及其自动化 @ 中国农业大学",3.4,"","321","","","UCI","EE","中国农业大学","电气工程及其自动化",0,4,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","EE",321,3.4,"319~322","102~106","<=3.4"
290,"greenmoon55",17,106,"325","157","168","3.5"," 美国","Fall","MS","Admitted","CS@NYU"," SE @ Tongji",87,"","157 168 3.5",""," 工作两年","NYU","CS","Tongji","SE",0,100,0,1,1,0,0,0,0,"New York University","New York University","Top10_50","Top50","EastCoast","Top100~500","CS",325,3.48,"322~325","102~106","3.4~3.55"
291,"三十六度五分",17,92,"313","143","170","3"," 美国","Fall","MS","Rejected","CE@Alien cs@neu"," 软件工程 @ 中南大学",86,": 计算机软件与理论 @ 中科院, GPA  : ","143+170+3","","","neu","CE","中南大学","SE",0,100,0,0,0,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Others","CE",313,3.44,"<=319","<=98","3.4~3.55"
306,"二院老同志",17,107,"323","","","3"," 美国","Fall","MS","Admitted","CE@CSE@NEU"," 光电信息科学与工程 @ 天大",3.45,"","323+3","","","NEU","CE","天大","光电信息科学与工程",0,4,0,0,0,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Top100~500","CE",323,3.45,"322~325",">106","3.4~3.55"
308,"xkgoodbest",17,96,"322","","","3"," 美国","Spring","MS","Admitted","CS@USC"," CS @ SCU",3.31,"","322+3.0","","","USC","CS","SCU","CS",1,4,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","CS",322,3.31,"319~322","<=98","<=3.4"
329,"taoyanqiu",17,102,"324","","","3.5"," 美国","Fall","MS","Admitted","Stat/Biostat@Biostat @Upenn，Columbia，Duke，Umichi，Yale，Emory（半奖）"," 生命医科工学 @ 早稻田大学",4,"","324 3.5","","","Upenn","Stat/Biostat","早稻田大学","生命医科工学",0,4,0,0,0,0,0,0,0,"University of Pennsylvania","University of Pennsylvania","Top10_50","Top50","EastCoast","Others","Stat/Biostat",324,4,"322~325","98~102",">3.7"
329,"taoyanqiu",17,102,"324","","","3.5"," 美国","Fall","MS","Admitted","Stat/Biostat@Biostat @Upenn，Columbia，Duke，Umichi，Yale，Emory（半奖）"," 生命医科工学 @ 早稻田大学",4,"","324 3.5","","","Columbia","Stat/Biostat","早稻田大学","生命医科工学",0,4,0,0,0,0,0,0,0,"Columbia University","Columbia University","Top10_50","Top50","EastCoast","Others","Stat/Biostat",324,4,"322~325","98~102",">3.7"
